# LutGenerate 2.4 - 01/04/07 12:39:01 - #  Display ID: DELL_2405FPW_T613358G3N0S
# Ambient = 0.30   Max. Luminance = 358.000   Luminance Ratio = 350.00
#  lumResponse vers. 1.6 - 01/04/07 10:21:27
#  iLdelay=1  avgN=1  ILlimit_plus=0.20 ILlimit_minus=-0.05  R=23.4% G=68.2% B=8.4%
 DV    R       G      B              target Lum+Lamb      uLR Lum+Lamb
170:  116  115  116          88.048     88.000
171:  117  116  117          89.590     89.400
172:  117  118  117          91.155     91.400
173:  118  119  118          92.744     92.700
174:  120  120  119          94.358     94.400
175:  121  121  120          95.996     96.100
176:  123  122  122          97.661     97.800
177:  124  123  123          99.350     99.400
178:  125  124  125         101.066    101.000
179:  125  126  125         102.809    102.900
180:  126  127  126         104.578    104.700
181:  128  128  128         106.375    106.400
182:  129  129  130         108.199    108.200
183:  130  130  131         110.051    110.000
184:  131  132  131         111.932    112.100
185:  133  133  132         113.842    114.000
186:  134  134  133         115.780    115.700
187:  136  135  135         117.749    117.700
188:  136  137  136         119.748    120.000
189:  138  138  139         121.778    121.800
190:  140  139  140         123.838    123.700
191:  140  141  141         125.930    125.900
192:  143  142  142         128.054    128.000
193:  144  143  144         130.211    130.100
194:  144  145  145         132.400    132.300
195:  146  146  147         134.623    134.700
196:  147  148  147         136.880    137.000
197:  149  149  149         139.171    139.200
198:  151  150  151         141.497    141.500
199:  151  152  152         143.859    143.900
200:  154  153  153         146.256    146.200
201:  154  155  155         148.690    148.700
202:  157  156  157         151.161    151.200
203:  157  158  157         153.670    153.700
204:  160  159  160         156.217    156.200
205:  160  161  161         158.802    158.700
206:  163  162  163         161.426    161.100
207:  164  164  163         164.091    164.100
208:  166  165  166         166.796    166.700
209:  167  167  167         169.541    169.600
210:  169  169  168         172.329    172.300
211:  170  171  171         175.158    175.300
212:  173  172  172         178.030    178.300
213:  174  174  175         180.946    181.300
214:  175  176  175         183.906    184.300
215:  177  177  178         186.911    187.300
216:  178  179  179         189.960    190.300
217:  181  180  180         193.056    193.300
218:  181  182  182         196.199    196.300
219:  184  183  183         199.389    199.300
220:  184  185  184         202.628    202.300
221:  186  187  186         205.915    206.300
222:  188  188  189         209.251    209.300
223:  190  189  190         212.638    212.300
224:  192  191  192         216.076    216.300
225:  192  193  192         219.565    219.300
226:  194  195  194         223.107    223.300
227:  196  196  197         226.703    226.300
228:  197  198  198         230.352    230.300
229:  199  200  200         234.056    234.300
230:  201  202  201         237.816    238.300
231:  203  203  204         241.633    241.300
232:  206  205  205         245.507    245.300
233:  207  207  207         249.438    249.300
234:  208  209  208         253.429    253.300
235:  210  211  211         257.480    257.300
236:  212  213  212         261.591    261.300
237:  214  215  214         265.765    265.300
238:  217  217  218         270.000    270.300
239:  218  219  218         274.299    274.300
240:  220  221  220         278.663    278.300
241:  222  223  222         283.092    283.300
242:  224  225  224         287.587    287.300
243:  226  227  226         292.150    292.300
244:  228  229  228         296.780    296.300
245:  230  231  231         301.480    301.300
246:  232  233  233         306.251    306.300
247:  235  235  234         311.092    311.300
248:  238  237  237         316.007    316.300
249:  240  239  239         320.994    321.300
250:  241  242  241         326.056    326.300
251:  243  244  244         331.194    331.300
252:  245  246  245         336.408    336.300
253:  247  248  248         341.701    341.300
254:  250  251  250         347.072    347.300
255:  253  252  252         352.523    352.300
256:  255  255  255         358.000    358.300
