# LutGenerate 2.5 - 01/27/2014 15:50:01 - #  Display ID: GENERIC EA234WMi 35101890TW
# Ambient = 0.10   Max. Luminance = 224.3325   Luminance Ratio = 307
#  lumResponse - average luminance response
#  4 files
 DV    R    G    B     target Lum+Lamb   uLR Lum+Lamb
175:  175  174  175          65.141     65.104
176:  176  175  176          66.212     66.241
177:  176  176  177          67.299     67.247
178:  177  177  177          68.401     68.394
179:  178  178  177          69.518     69.560
180:  179  179  180          70.652     70.688
181:  181  180  181          71.801     71.801
182:  182  181  181          72.967     72.946
183:  182  182  183          74.150     74.187
184:  183  183  183          75.349     75.343
185:  184  184  184          76.565     76.578
186:  185  185  184          77.799     77.825
187:  185  186  186          79.050     79.049
188:  186  187  186          80.318     80.304
189:  187  188  188          81.605     81.614
190:  189  189  189          82.909     82.913
191:  190  190  189          84.232     84.232
192:  190  191  191          85.574     85.533
193:  191  192  192          86.935     86.959
194:  192  193  192          88.314     88.296
195:  193  194  193          89.713     89.817
196:  194  195  194          91.132     91.315
197:  195  196  195          92.571     92.843
198:  196  197  196          94.030     94.093
199:  198  198  199          95.509     95.560
200:  199  199  199          97.009     97.071
201:  200  200  199          98.530     98.604
202:  200  201  201         100.072    100.041
203:  201  202  202         101.636    101.578
204:  202  203  202         103.222    103.170
205:  203  204  203         104.829    104.795
206:  204  205  204         106.460    106.444
207:  205  206  205         108.113    108.071
208:  207  207  207         109.789    109.720
209:  208  208  209         111.488    111.546
210:  209  209  209         113.211    113.244
211:  210  210  210         114.958    114.899
212:  211  211  211         116.729    116.775
213:  212  212  212         118.524    118.542
214:  213  213  213         120.345    120.381
215:  214  214  214         122.191    122.239
216:  216  215  216         124.063    123.958
217:  216  217  216         125.960    126.157
218:  217  218  217         127.884    128.050
219:  218  219  218         129.834    129.918
220:  219  220  219         131.811    131.893
221:  220  221  220         133.816    133.890
222:  221  222  221         135.848    136.004
223:  222  223  222         137.909    138.109
224:  223  224  223         139.997    140.203
225:  224  225  224         142.115    142.189
226:  226  226  226         144.262    144.238
227:  227  227  227         146.438    146.481
228:  228  228  227         148.645    148.539
229:  229  229  228         150.881    150.885
230:  230  230  229         153.149    153.223
231:  230  231  231         155.448    155.341
232:  231  232  232         157.778    157.682
233:  232  233  233         160.140    160.148
234:  234  234  233         162.535    162.551
235:  236  235  235         164.963    164.861
236:  237  236  236         167.424    167.493
237:  237  237  238         169.919    169.932
238:  238  238  238         172.448    172.514
239:  238  239  239         175.011    174.957
240:  239  240  239         177.610    177.819
241:  241  240  241         180.245    179.581
242:  242  241  241         182.915    182.943
243:  241  242  242         185.622    185.589
244:  243  242  243         188.366    187.485
245:  244  243  244         191.148    191.164
246:  245  244  245         193.967    194.029
247:  245  245  246         196.825    196.900
248:  246  246  247         199.722    199.787
249:  248  247  248         202.659    202.436
250:  249  249  249         205.636    205.745
251:  251  250  251         208.653    208.452
252:  252  253  252         211.712    211.651
253:  253  254  253         214.812    215.003
254:  255  254  255         217.954    217.173
255:  254  255  254         221.140    222.948
256:  255  255  254         224.333    224.424
