#  lumResponse vers. 1.5b - 05/05/03
#  Display ID: DELL_1900FP_ARW5
#  iLdelay = 1   avgN = 1   ILlimit = 0.50
1  58.8  #ff0000
2  178.0  #00ff00
3  29.6  #0000ff
4  0.27  #000000
5  0.27  #000001
6  0.27  #010000
7  0.27  #010001
8  0.27  #000100
9  0.27  #000101
10  0.27  #010100
11  0.27  #010101
12  0.27  #010102
13  0.27  #020101
14  0.27  #020102
15  0.27  #010201
16  0.27  #010202
17  0.27  #020201
18  0.27  #020202
19  0.27  #020203
20  0.27  #030202
21  0.27  #030203
22  0.273  #020302
23  0.273  #020303
24  0.273  #030302
25  0.274  #030303
26  0.274  #030304
27  0.274  #040303
28  0.274  #040304
29  0.274  #030403
30  0.274  #030404
31  0.274  #040403
32  0.274  #040404
33  0.274  #040405
34  0.274  #050404
35  0.274  #050405
36  0.274  #040504
37  0.274  #040505
38  0.274  #050504
39  0.274  #050505
40  0.274  #050506
41  0.274  #060505
42  0.274  #060506
43  0.275  #050605
44  0.275  #050606
45  0.275  #060605
46  0.275  #060606
47  0.275  #060607
48  0.275  #070606
49  0.275  #070607
50  0.275  #060706
51  0.275  #060707
52  0.275  #070706
53  0.275  #070707
54  0.276  #070708
55  0.275  #080707
56  0.276  #080708
57  0.277  #070807
58  0.277  #070808
59  0.277  #080807
60  0.278  #080808
61  0.277  #080809
62  0.277  #090808
63  0.277  #090809
64  0.277  #080908
65  0.277  #080909
66  0.277  #090908
67  0.277  #090909
68  0.278  #09090a
69  0.277  #0a0909
70  0.278  #0a090a
71  0.28  #090a09
72  0.28  #090a0a
73  0.28  #0a0a09
74  0.28  #0a0a0a
75  0.28  #0a0a0b
76  0.28  #0b0a0a
77  0.28  #0b0a0b
78  0.28  #0a0b0a
79  0.28  #0a0b0b
80  0.28  #0b0b0a
81  0.28  #0b0b0b
82  0.28  #0b0b0c
83  0.281  #0c0b0b
84  0.282  #0c0b0c
85  0.282  #0b0c0b
86  0.283  #0b0c0c
87  0.284  #0c0c0b
88  0.284  #0c0c0c
89  0.284  #0c0c0d
90  0.284  #0d0c0c
91  0.284  #0d0c0d
92  0.284  #0c0d0c
93  0.284  #0c0d0d
94  0.284  #0d0d0c
95  0.284  #0d0d0d
96  0.285  #0d0d0e
97  0.285  #0e0d0d
98  0.285  #0e0d0e
99  0.287  #0d0e0d
100  0.288  #0d0e0e
101  0.288  #0e0e0d
102  0.288  #0e0e0e
103  0.288  #0e0e0f
104  0.288  #0f0e0e
105  0.288  #0f0e0f
106  0.288  #0e0f0e
107  0.288  #0e0f0f
108  0.288  #0f0f0e
109  0.288  #0f0f0f
110  0.289  #0f0f10
111  0.289  #100f0f
112  0.29  #100f10
113  0.292  #0f100f
114  0.292  #0f1010
115  0.292  #10100f
116  0.293  #101010
117  0.293  #101011
118  0.293  #111010
119  0.293  #111011
120  0.293  #101110
121  0.293  #101111
122  0.293  #111110
