# luminance for red (#ff0000), green (#00ff00) and blue (#0000ff)
# 8 files
#   r2g      b2g       Lmin      Lmax      red       grn       blu    FILE
# 0.33539  0.15086     0.301   279.332    69.811   208.151    31.401  Average
  0.33281  0.14991     0.295   303.250    75.917   228.110    34.197  uLR_L200ME_810KCAS4Y184.txt
  0.33257  0.15059     0.273   284.380    70.968   213.390    32.135  uLR_L200ME_810KCDG4Y154.txt
  0.33339  0.15758     0.239   254.580    59.501   178.470    28.123  uLR_L200ME_810KCGW4Y151.txt
  0.33643  0.14758     0.344   294.090    74.769   222.240    32.798  uLR_L200ME_810KCHE4Y169.txt
  0.33165  0.14957     0.346   276.990    68.595   206.830    30.935  uLR_L200ME_810KCKJ4181.txt
  0.33885  0.15261     0.367   281.190    71.569   211.210    32.233  uLR_L200ME_810KCQX4Y172.txt
  0.33519  0.15377     0.283   275.460    69.234   206.550    31.761  uLR_L200ME_810KCSF4Y174.txt
  0.34240  0.14629     0.258   264.720    67.935   198.410    29.026  uLR_L200ME_810KCXM4Y186.txt
