# LutGenerate 2.4 - 07/12/07 14:37:39 - #  Display ID: GENERIC
# Ambient = 0.2   Max. Luminance = 358.2727   Luminance Ratio = 350.00
#  lumResponse - average luminance response
#  11 files
 DV    R    G    B     target Lum+Lamb   uLR Lum+Lamb
175:  138  139  138          96.059     96.264
176:  139  140  139          97.724     98.027
177:  141  140  141          99.415     99.209
178:  142  141  142         101.132    100.973
179:  143  142  143         102.876    102.782
180:  144  143  144         104.647    104.555
181:  145  144  145         106.445    106.400
182:  146  145  146         108.270    108.300
183:  147  146  147         110.124    110.091
184:  148  147  148         112.006    111.964
185:  149  148  149         113.917    113.900
186:  150  149  150         115.857    115.791
187:  151  150  151         117.827    117.827
188:  152  151  152         119.828    119.709
189:  153  152  153         121.859    121.691
190:  154  153  154         123.921    123.618
191:  154  155  154         126.014    126.409
192:  155  156  155         128.140    128.373
193:  156  157  156         130.298    130.445
194:  157  158  157         132.489    132.482
195:  158  159  159         134.714    134.718
196:  159  160  160         136.972    136.836
197:  161  161  160         139.265    139.209
198:  162  162  163         141.593    141.700
199:  164  163  163         143.957    144.027
200:  165  164  165         146.356    146.300
201:  166  165  166         148.792    148.464
202:  166  167  166         151.265    151.309
203:  167  168  168         153.775    153.646
204:  169  169  169         156.324    156.236
205:  171  170  170         158.911    159.009
206:  172  171  172         161.538    161.273
207:  172  173  172         164.204    164.227
208:  174  174  173         166.911    166.882
209:  176  175  175         169.659    169.700
210:  176  177  176         172.448    172.836
211:  177  178  178         175.280    175.245
212:  179  179  180         178.154    178.191
213:  181  180  181         181.072    180.754
214:  182  182  181         184.035    184.200
215:  184  183  183         187.042    187.027
216:  184  185  184         190.094    190.146
217:  186  186  187         193.192    193.291
218:  187  188  187         196.337    196.564
219:  189  189  189         199.530    199.654
220:  191  190  190         202.771    202.382
221:  191  192  191         206.061    206.109
222:  193  193  192         209.400    209.382
223:  194  194  195         212.789    212.836
224:  196  195  196         216.230    216.109
225:  196  197  196         219.722    219.836
226:  198  198  197         223.267    223.382
227:  199  199  200         226.866    226.745
228:  201  200  201         230.518    230.291
229:  201  202  201         234.225    234.291
230:  203  203  203         237.988    238.018
231:  205  204  205         241.808    241.564
232:  205  206  206         245.685    245.836
233:  208  207  207         249.620    249.745
234:  208  209  208         253.614    253.927
235:  210  210  211         257.668    257.745
236:  211  212  211         261.783    262.200
237:  213  213  213         265.959    265.927
238:  214  215  214         270.198    270.654
239:  216  216  216         274.501    274.473
240:  217  218  217         278.868    279.109
241:  220  219  219         283.301    283.473
242:  221  221  220         287.800    288.018
243:  222  223  222         292.366    292.564
244:  225  224  225         297.001    296.927
245:  227  226  227         301.705    301.654
246:  229  228  229         306.479    306.473
247:  231  230  231         311.325    311.291
248:  233  232  232         316.243    316.200
249:  235  234  235         321.235    321.109
250:  237  236  237         326.301    325.836
251:  238  239  239         331.443    331.564
252:  242  241  242         336.662    336.564
253:  244  244  243         341.959    341.836
254:  246  247  247         347.335    347.291
255:  251  250  251         352.791    352.927
256:  254  254  254         358.273    358.291
