# LutGenerate 2.4 - 01/01/09 16:24:04 - #  Display ID: PX191_426F0221K0184
# Ambient = 0.10   Max. Luminance = 263.500   Luminance Ratio = 350.00
#  lumResponse vers. 1.8 - 01/01/09 15:32:06
#  iLdelay=1  avgN=1  ILlimit_plus=0.20 ILlimit_minus=-0.05  R=24.6% G=65.8% B=9.5%
 DV    R    G    B     target Lum+Lamb   uLR Lum+Lamb
171:  152  153  152          69.091     69.295
172:  153  154  153          70.266     70.474
173:  155  154  155          71.458     71.257
174:  156  155  156          72.668     72.473
175:  156  157  156          73.896     74.086
176:  157  158  157          75.142     75.328
177:  158  159  158          76.406     76.556
178:  159  160  159          77.689     77.820
179:  160  161  160          78.991     79.138
180:  161  162  161          80.312     80.515
181:  163  162  163          81.653     81.459
182:  164  163  164          83.013     82.840
183:  165  164  165          84.393     84.224
184:  166  165  166          85.793     85.595
185:  167  166  167          87.214     87.007
186:  168  167  168          88.656     88.421
187:  169  168  169          90.119     90.014
188:  170  169  170          91.603     91.432
189:  171  170  171          93.109     92.875
190:  171  172  171          94.637     94.830
191:  172  173  172          96.188     96.335
192:  173  174  173          97.761     97.854
193:  174  175  174          99.357     99.469
194:  175  176  175         100.976    101.020
195:  176  177  176         102.618    102.570
196:  177  178  178         104.285    104.300
197:  178  179  179         105.976    105.920
198:  180  180  179         107.691    107.800
199:  181  181  180         109.431    109.400
200:  182  182  182         111.197    111.190
201:  183  183  183         112.988    112.990
202:  184  184  185         114.805    114.840
203:  185  185  186         116.649    116.580
204:  187  186  187         118.519    118.580
205:  188  187  188         120.416    120.280
206:  188  189  188         122.340    122.550
207:  189  190  189         124.292    124.460
208:  190  191  190         126.273    126.400
209:  191  192  191         128.282    128.230
210:  193  193  192         130.320    130.410
211:  194  194  195         132.387    132.340
212:  196  195  196         134.485    134.410
213:  196  197  197         136.612    136.670
214:  198  198  198         138.770    138.760
215:  200  199  200         140.959    141.010
216:  200  201  200         143.179    143.210
217:  202  202  201         145.432    145.470
218:  204  203  203         147.716    147.790
219:  204  205  204         150.034    150.230
220:  205  206  206         152.385    152.290
221:  207  207  208         154.769    154.730
222:  209  208  209         157.188    157.050
223:  209  210  210         159.641    159.620
224:  211  211  212         162.129    162.070
225:  213  212  213         164.653    164.430
226:  213  214  213         167.213    167.110
227:  214  215  215         169.810    169.660
228:  217  216  216         172.443    172.520
229:  217  218  217         175.115    175.380
230:  219  219  218         177.824    177.870
231:  221  220  220         180.572    180.600
232:  221  222  221         183.360    183.440
233:  223  223  223         186.187    186.240
234:  225  224  224         189.054    188.940
235:  226  226  225         191.962    191.930
236:  227  228  227         194.912    195.090
237:  229  229  230         197.903    197.760
238:  230  231  231         200.938    200.890
239:  233  232  233         204.015    204.050
240:  234  234  233         207.136    207.130
241:  236  235  235         210.302    210.430
242:  236  237  236         213.512    213.440
243:  239  238  238         216.768    216.930
244:  239  240  239         220.071    219.980
245:  241  241  241         223.420    223.340
246:  243  242  243         226.817    226.530
247:  244  244  243         230.262    230.310
248:  246  245  245         233.755    233.720
249:  246  247  246         237.299    237.440
250:  248  248  247         240.892    240.930
251:  249  249  250         244.537    244.360
252:  251  250  251         248.233    248.170
253:  252  251  252         251.981    251.750
254:  252  253  252         255.783    255.770
255:  254  254  253         259.638    259.890
256:  255  255  255         263.500    263.600
