#  lumResponse vers. 1.5b - 04/29/03
#  Display ID: DELL_1900FP_ATR5
#  iLdelay = 1   avgN = 1   ILlimit = 0.50
279  0.6  #282727
280  0.606  #282728
281  0.621  #272827
282  0.627  #272828
283  0.629  #282827
284  0.635  #282828
285  0.635  #282829
286  0.635  #292828
287  0.635  #292829
288  0.635  #282928
289  0.635  #282929
290  0.635  #292928
291  0.635  #292929
292  0.642  #29292a
293  0.645  #2a2929
294  0.651  #2a292a
295  0.668  #292a29
296  0.674  #292a2a
297  0.677  #2a2a29
298  0.684  #2a2a2a
299  0.692  #2a2a2b
300  0.694  #2b2a2a
301  0.701  #2b2a2b
302  0.72  #2a2b2a
303  0.727  #2a2b2b
304  0.73  #2b2b2a
305  0.737  #2b2b2b
306  0.745  #2b2b2c
307  0.748  #2c2b2b
308  0.756  #2c2b2c
309  0.777  #2b2c2b
310  0.785  #2b2c2c
311  0.788  #2c2c2b
312  0.797  #2c2c2c
313  0.797  #2c2c2d
314  0.797  #2d2c2c
315  0.797  #2d2c2d
316  0.797  #2c2d2c
317  0.797  #2c2d2d
318  0.797  #2d2d2c
319  0.797  #2d2d2d
320  0.806  #2d2d2e
321  0.809  #2e2d2d
322  0.818  #2e2d2e
323  0.842  #2d2e2d
324  0.851  #2d2e2e
325  0.855  #2e2e2d
326  0.863  #2e2e2e
327  0.873  #2e2e2f
328  0.88  #2f2e2e
329  0.89  #2f2e2f
330  0.91  #2e2f2e
331  0.92  #2e2f2f
332  0.928  #2f2f2e
333  0.938  #2f2f2f
334  0.945  #2f2f30
335  0.953  #302f2f
336  0.961  #302f30
337  0.99  #2f302f
338  0.998  #2f3030
339  1.006  #30302f
340  1.014  #303030
341  1.013  #303031
342  1.014  #313030
343  1.014  #313031
344  1.014  #303130
345  1.014  #303131
346  1.014  #313130
347  1.014  #313131
348  1.026  #313132
349  1.032  #323131
350  1.044  #323132
351  1.074  #313231
352  1.085  #313232
353  1.091  #323231
354  1.102  #323232
355  1.113  #323233
356  1.121  #333232
357  1.131  #333233
358  1.166  #323332
359  1.177  #323333
360  1.185  #333332
361  1.196  #333333
362  1.207  #333334
363  1.216  #343333
364  1.228  #343334
365  1.252  #333433
366  1.264  #333434
367  1.273  #343433
368  1.284  #343434
369  1.296  #343435
370  1.307  #353434
371  1.318  #353435
372  1.349  #343534
373  1.361  #343535
374  1.372  #353534
375  1.384  #353535
376  1.384  #353536
377  1.384  #363535
378  1.384  #363536
379  1.384  #353635
380  1.384  #353636
381  1.385  #363635
382  1.384  #363636
383  1.397  #363637
384  1.414  #373636
385  1.426  #373637
386  1.45  #363736
387  1.462  #363737
388  1.479  #373736
389  1.492  #373737
390  1.501  #373738
391  1.514  #383737
392  1.523  #383738
