# LutGenerate 2.4 - 08/09/11 15:39:34 - #  Display ID: EA231WMi_9Y100974NA
# Ambient = .1   Max. Luminance = 207.610   Luminance Ratio = 350.00
#  lumResponse vers. 1.9 - 08/09/11 12:21:47
#  iLdelay=0  avgN=1  ILlimit_plus=0.20 ILlimit_minus=-0.05  Meter=LXcan
 DV    R    G    B     target Lum+Lamb   uLR Lum+Lamb
171:  140  140  139          56.415     56.446
172:  141  141  140          57.354     57.351
173:  142  142  141          58.306     58.294
174:  143  143  143          59.273     59.284
175:  144  144  145          60.252     60.244
176:  146  145  145          61.246     61.234
177:  147  146  146          62.254     62.246
178:  148  147  148          63.277     63.264
179:  148  149  148          64.314     64.348
180:  150  150  149          65.365     65.420
181:  151  151  152          66.432     66.460
182:  153  152  152          67.513     67.527
183:  153  154  153          68.610     68.735
184:  154  155  155          69.723     69.730
185:  156  156  155          70.851     70.811
186:  157  157  158          71.995     71.952
187:  159  158  159          73.155     73.126
188:  159  160  159          74.332     74.516
189:  160  161  160          75.525     75.497
190:  162  162  162          76.735     76.745
191:  164  163  163          77.962     78.016
192:  165  164  165          79.206     79.075
193:  166  166  165          80.468     80.514
194:  167  167  168          81.747     81.778
195:  169  168  169          83.044     82.965
196:  169  170  170          84.360     84.299
197:  172  171  171          85.694     85.690
198:  172  173  172          87.046     87.053
199:  174  174  174          88.417     88.395
200:  176  175  175          89.808     89.897
201:  177  176  177          91.218     91.105
202:  177  178  178          92.647     92.632
203:  179  179  180          94.096     94.063
204:  181  180  181          95.566     95.468
205:  181  182  182          97.056     97.044
206:  183  183  184          98.567     98.513
207:  185  184  185         100.098     99.956
208:  186  186  185         101.651    101.600
209:  188  187  188         103.226    103.170
210:  189  189  188         104.822    104.910
211:  191  190  191         106.440    106.460
212:  191  192  191         108.081    108.150
213:  193  193  192         109.744    109.730
214:  195  194  195         111.431    111.490
215:  195  196  195         113.140    113.230
216:  197  197  196         114.874    114.870
217:  199  198  198         116.631    116.660
218:  199  200  199         118.412    118.660
219:  200  201  201         120.218    120.190
220:  203  202  202         122.049    122.050
221:  203  204  203         123.905    123.860
222:  205  205  205         125.787    125.750
223:  207  206  207         127.694    127.590
224:  207  208  208         129.628    129.550
225:  210  209  209         131.588    131.640
226:  210  211  210         133.575    133.680
227:  211  212  212         135.589    135.470
228:  213  213  214         137.631    137.540
229:  215  214  215         139.701    139.570
230:  215  216  216         141.800    141.820
231:  218  217  217         143.927    144.040
232:  219  218  219         146.083    145.900
233:  220  220  219         148.268    148.420
234:  222  221  221         150.484    150.480
235:  222  223  222         152.730    152.750
236:  224  224  224         155.006    155.060
237:  226  225  226         157.314    157.080
238:  227  227  226         159.653    159.650
239:  229  228  229         162.024    161.850
240:  229  230  229         164.427    164.380
241:  230  231  230         166.863    166.780
242:  233  232  232         169.332    169.400
243:  233  234  233         171.835    172.100
244:  235  235  234         174.371    174.360
245:  237  236  237         176.943    176.710
246:  238  238  238         179.549    179.470
247:  239  240  239         182.191    182.290
248:  242  241  242         184.868    184.780
249:  243  243  244         187.582    187.600
250:  245  245  244         190.333    190.340
251:  246  247  246         193.121    193.210
252:  249  248  249         195.947    195.970
253:  250  250  251         198.812    198.850
254:  251  252  251         201.715    201.740
255:  254  253  254         204.657    204.540
256:  255  255  255         207.610    207.710
