# LutGenerate 2.4 - 08/11/11 12:18:17 - #  Display ID: EA231WMi_04104072NA
# Ambient = 0.10   Max. Luminance = 249.010   Luminance Ratio = 350.00
#  lumResponse vers. 1.9 - 08/11/11 12:15:56
#  iLdelay=0  avgN=1  ILlimit_plus=0.20 ILlimit_minus=-0.05  Meter=LXcan
 DV    R    G    B     target Lum+Lamb   uLR Lum+Lamb
171:  140  141  141          65.851     65.834
172:  142  142  141          66.965     66.931
173:  143  143  144          68.096     68.127
174:  145  144  144          69.243     69.269
175:  146  145  146          70.407     70.286
176:  146  147  146          71.588     71.739
177:  147  148  147          72.786     72.800
178:  149  149  148          74.002     74.055
179:  150  150  150          75.235     75.270
180:  151  151  152          76.487     76.442
181:  153  152  153          77.756     77.705
182:  153  154  153          79.045     79.284
183:  154  155  154          80.352     80.390
184:  155  156  156          81.678     81.657
185:  157  157  157          83.023     82.991
186:  159  158  158          84.388     84.394
187:  160  159  160          85.773     85.619
188:  160  161  160          87.178     87.173
189:  162  162  161          88.603     88.630
190:  163  163  163          90.049     90.040
191:  165  164  165          91.515     91.562
192:  165  166  165          93.003     93.238
193:  166  167  167          94.513     94.496
194:  168  168  169          96.044     96.023
195:  170  169  170          97.597     97.464
196:  170  171  170          99.173     99.209
197:  172  172  172         100.771    100.790
198:  174  173  174         102.393    102.390
199:  174  175  174         104.037    104.080
200:  176  176  176         105.706    105.690
201:  178  177  178         107.398    107.270
202:  178  179  178         109.115    109.130
203:  180  180  180         110.856    110.810
204:  182  181  182         112.622    112.560
205:  182  183  182         114.414    114.410
206:  184  184  185         116.231    116.260
207:  186  185  186         118.074    117.910
208:  186  187  187         119.944    119.900
209:  188  188  189         121.840    121.750
210:  189  190  189         123.763    124.000
211:  190  191  191         125.714    125.770
212:  192  192  193         127.693    127.700
213:  194  193  194         129.700    129.500
214:  194  195  194         131.735    131.680
215:  196  196  197         133.800    133.810
216:  198  197  198         135.894    135.810
217:  198  199  198         138.017    138.110
218:  200  200  200         140.171    140.200
219:  202  201  202         142.355    142.270
220:  202  203  202         144.571    144.690
221:  204  204  204         146.818    146.880
222:  206  205  206         149.097    149.100
223:  206  207  206         151.408    151.660
224:  208  208  207         153.752    153.830
225:  210  209  209         156.129    156.160
226:  211  210  211         158.540    158.200
227:  211  212  212         160.985    161.060
228:  213  213  214         163.464    163.540
229:  215  214  214         165.979    166.050
230:  216  215  216         168.529    168.430
231:  216  217  217         171.115    171.100
232:  218  218  219         173.738    173.740
233:  220  219  220         176.398    176.090
234:  220  221  221         179.095    179.070
235:  223  222  222         181.830    181.840
236:  224  223  224         184.604    184.230
237:  225  225  224         187.417    187.460
238:  227  226  226         190.270    190.270
239:  227  228  227         193.163    193.360
240:  229  229  229         196.097    196.030
241:  230  231  230         199.072    199.340
242:  232  232  232         202.088    202.040
243:  233  234  233         205.147    205.220
244:  235  235  234         208.250    208.160
245:  237  236  237         211.395    211.150
246:  238  238  238         214.585    214.500
247:  239  240  239         217.820    218.060
248:  242  241  242         221.100    221.150
249:  243  243  243         224.427    224.470
250:  244  245  244         227.800    227.860
251:  247  246  247         231.220    230.850
252:  249  248  248         234.688    234.700
253:  250  250  251         238.205    238.280
254:  251  252  252         241.771    241.830
255:  253  254  253         245.387    245.720
256:  255  255  255         249.010    249.110
