# LutGenerate 2.4 - 10/29/09 11:13:18 - #  Display ID: GENERIC
# Ambient = 0.15   Max. Luminance = 279.4575   Luminance Ratio = 350.00
#  lumResponse - average luminance response
#  8 files
 DV    R    G    B     target Lum+Lamb   uLR Lum+Lamb
175:  135  136  135          77.704     77.576
176:  136  137  137          79.022     78.976
177:  138  139  139          80.358     80.359
178:  140  139  140          81.715     81.848
179:  141  141  140          83.092     83.459
180:  142  141  142          84.489     85.013
181:  141  142  141          85.907     85.422
182:  142  143  142          87.346     87.162
183:  143  144  144          88.807     88.679
184:  145  146  145          90.289     90.356
185:  147  146  147          91.793     91.793
186:  148  148  147          93.319     93.528
187:  149  148  149          94.868     95.124
188:  150  149  150          96.440     97.010
189:  149  150  149          98.035     97.436
190:  150  151  151          99.653     99.065
191:  151  152  151         101.295    100.942
192:  152  153  153         102.962    102.597
193:  154  154  155         104.653    104.535
194:  155  156  155         106.368    106.377
195:  156  157  157         108.109    108.073
196:  159  158  159         109.876    109.907
197:  160  159  159         111.668    111.744
198:  160  160  159         113.487    113.461
199:  162  162  161         115.332    115.439
200:  163  163  163         117.205    117.188
201:  164  164  163         119.105    119.156
202:  166  165  165         121.032    121.224
203:  166  166  166         122.988    123.000
204:  167  167  166         124.973    124.939
205:  169  169  168         126.986    126.978
206:  170  170  171         129.029    129.043
207:  170  171  171         131.101    131.085
208:  171  172  171         133.204    133.029
209:  172  173  172         135.337    135.123
210:  173  174  174         137.502    136.920
211:  177  176  177         139.697    140.476
212:  178  178  177         141.925    142.431
213:  179  179  179         144.185    144.203
214:  181  180  180         146.478    146.528
215:  180  181  181         148.805    148.651
216:  182  183  182         151.165    150.676
217:  185  185  184         153.559    154.271
218:  187  186  187         155.988    156.044
219:  188  187  187         158.452    158.466
220:  187  188  188         160.952    160.655
221:  191  191  190         163.488    164.045
222:  192  192  191         166.061    166.126
223:  192  193  192         168.671    168.569
224:  193  194  194         171.319    170.486
225:  197  196  197         174.005    174.270
226:  198  198  199         176.730    176.754
227:  198  199  199         179.494    179.104
228:  202  201  201         182.298    182.859
229:  203  202  202         185.142    185.186
230:  203  204  203         188.028    187.706
231:  206  206  205         190.955    191.589
232:  206  207  207         193.924    193.873
233:  210  209  210         196.936    197.695
234:  211  210  211         199.992    200.059
235:  211  211  212         203.091    202.675
236:  215  214  215         206.235    206.639
237:  214  215  215         209.424    209.316
238:  218  217  218         212.659    213.363
239:  218  219  219         215.941    215.936
240:  221  221  221         219.270    219.808
241:  221  222  222         222.646    222.331
242:  225  224  225         226.071    226.076
243:  227  227  227         229.545    230.075
244:  227  228  228         233.069    232.659
245:  230  230  230         236.643    236.619
246:  233  233  232         240.269    241.223
247:  233  234  233         243.947    243.861
248:  237  236  236         247.677    247.784
249:  238  238  237         251.461    251.751
250:  241  241  241         255.299    255.670
251:  244  243  243         259.192    259.805
252:  246  245  245         263.141    263.666
253:  248  248  248         267.146    267.492
254:  250  250  249         271.209    271.188
255:  253  252  253         275.329    275.786
256:  255  255  255         279.457    279.482
