#  lumResponse - average luminance response
#  Display ID: GENERIC
#  1 files
#    45.7000 #ff0000
#   170.2000 #00ff00
#    17.7600 #0000ff
 142      1.0490  #141415   21   2    0.00766
 143      1.0570  #151414   21   3    0.00760
 144      1.0650  #151415   21   4    0.00754
 145      1.0990  #141514   21   5    0.03142
 146      1.1070  #141515   21   6    0.00725
 147      1.1160  #151514   21   7    0.00810
 148      1.1240  #151515   22   1    0.00714
 149      1.1310  #151516   22   2    0.00621
 150      1.1410  #161515   22   3    0.00880
 151      1.1490  #161516   22   4    0.00699
 152      1.1840  #151615   22   5    0.03000
 153      1.1920  #151616   22   6    0.00673
 154      1.2010  #161615   22   7    0.00752
 155      1.2090  #161616   23   1    0.00664
 156      1.2180  #161617   23   2    0.00742
 157      1.2280  #171616   23   3    0.00818
 158      1.2370  #171617   23   4    0.00730
 159      1.2740  #161716   23   5    0.02947
 160      1.2830  #161717   23   6    0.00704
 161      1.2930  #171716   23   7    0.00776
 162      1.3020  #171717   24   1    0.00694
 163      1.3080  #171718   24   2    0.00460
 164      1.3280  #181717   24   3    0.01517
 165      1.3350  #181718   24   4    0.00526
 166      1.3740  #171817   24   5    0.02879
 167      1.3810  #171818   24   6    0.00508
 168      1.4010  #181817   24   7    0.01438
 169      1.4070  #181818   25   1    0.00427
 170      1.4170  #181819   25   2    0.00708
 171      1.4320  #191818   25   3    0.01053
 172      1.4410  #191819   25   4    0.00627
 173      1.4850  #181918   25   5    0.03008
 174      1.4950  #181919   25   6    0.00671
 175      1.5090  #191918   25   7    0.00932
 176      1.5190  #191919   26   1    0.00661
 177      1.5290  #19191a   26   2    0.00656
 178      1.5190  #1a1919   26   3   -0.00656
 179      1.5290  #1a191a   26   4    0.00656
 180      1.6060  #191a19   26   5    0.04912
 181      1.6170  #191a1a   26   6    0.00683
 182      1.6060  #1a1a19   26   7   -0.00683
 183      1.6170  #1a1a1a   27   1    0.00683
 184      1.6280  #1a1a1b   27   2    0.00678
 185      1.6420  #1b1a1a   27   3    0.00856
 186      1.6540  #1b1a1b   27   4    0.00728
 187      1.7080  #1a1b1a   27   5    0.03212
 188      1.7200  #1a1b1b   27   6    0.00700
 189      1.7330  #1b1b1a   27   7    0.00753
 190      1.7440  #1b1b1b   28   1    0.00633
 191      1.7570  #1b1b1c   28   2    0.00743
 192      1.7730  #1c1b1b   28   3    0.00907
 193      1.7850  #1c1b1c   28   4    0.00675
 194      1.8400  #1b1c1b   28   5    0.03034
 195      1.8500  #1b1c1c   28   6    0.00542
 196      1.8700  #1c1c1b   28   7    0.01075
 197      1.8800  #1c1c1c   29   1    0.00533
 198      1.8800  #1c1c1d   29   2    0.00000
 199      1.9100  #1d1c1c   29   3    0.01583
 200      1.9100  #1d1c1d   29   4    0.00000
 201      1.9900  #1c1d1c   29   5    0.04103
 202      1.9900  #1c1d1d   29   6    0.00000
 203      2.0200  #1d1d1c   29   7    0.01496
 204      2.0200  #1d1d1d   30   1    0.00000
 205      2.0300  #1d1d1e   30   2    0.00494
 206      2.0500  #1e1d1d   30   3    0.00980
 207      2.0600  #1e1d1e   30   4    0.00487
 208      2.1300  #1d1e1d   30   5    0.03341
 209      2.1500  #1d1e1e   30   6    0.00935
 210      2.1600  #1e1e1d   30   7    0.00464
 211      2.1800  #1e1e1e   31   1    0.00922
 212      2.1900  #1e1e1f   31   2    0.00458
 213      2.2200  #1f1e1e   31   3    0.01361
 214      2.2300  #1f1e1f   31   4    0.00449
 215      2.3100  #1e1f1e   31   5    0.03524
 216      2.3200  #1e1f1f   31   6    0.00432
 217      2.3500  #1f1f1e   31   7    0.01285
 218      2.3600  #1f1f1f   32   1    0.00425
