# LutGenerate 2.4 - 08/11/11 11:27:02 - #  Display ID: EA231WMi_9Z103070NA
# Ambient = 0.10   Max. Luminance = 220.250   Luminance Ratio = 350.00
#  lumResponse vers. 1.8 - 08/10/11 15:49:27
#  iLdelay=1  avgN=1  ILlimit_plus=0.20 ILlimit_minus=-0.05  R=21.7% G=69.7% B=8.6%
 DV    R    G    B     target Lum+Lamb   uLR Lum+Lamb
171:  140  139  140          59.326     59.172
172:  140  141  140          60.319     60.394
173:  141  142  142          61.326     61.356
174:  142  143  143          62.347     62.332
175:  143  144  144          63.384     63.362
176:  145  145  146          64.435     64.415
177:  147  146  147          65.501     65.537
178:  148  147  148          66.583     66.506
179:  148  149  148          67.680     67.811
180:  149  150  150          68.793     68.802
181:  151  151  150          69.922     69.891
182:  153  152  152          71.067     71.124
183:  154  153  154          72.228     72.059
184:  154  155  154          73.406     73.392
185:  156  156  155          74.601     74.619
186:  158  157  157          75.812     75.828
187:  159  158  159          77.041     76.907
188:  159  160  159          78.288     78.282
189:  161  161  162          79.552     79.521
190:  163  162  163          80.834     80.799
191:  163  164  163          82.134     82.285
192:  165  165  164          83.453     83.506
193:  167  166  166          84.791     84.825
194:  168  167  168          86.147     85.940
195:  169  169  168          87.522     87.492
196:  171  170  171          88.917     88.923
197:  172  171  172          90.332     90.216
198:  172  173  173          91.767     91.802
199:  174  174  175          93.222     93.165
200:  176  175  176          94.697     94.546
201:  177  177  176          96.193     96.199
202:  179  178  179          97.710     97.724
203:  179  180  179          99.249     99.458
204:  181  181  180         100.809    100.860
205:  183  182  182         102.391    102.350
206:  183  184  183         103.995    104.140
207:  185  185  186         105.622    105.610
208:  187  186  187         107.271    107.110
209:  187  188  187         108.944    109.010
210:  189  189  189         110.640    110.610
211:  191  190  191         112.360    112.270
212:  191  192  191         114.103    114.110
213:  193  193  194         115.872    115.920
214:  195  194  195         117.664    117.580
215:  195  196  195         119.482    119.550
216:  197  197  197         121.325    121.300
217:  199  198  199         123.194    123.090
218:  199  200  199         125.089    125.170
219:  201  201  200         127.010    127.020
220:  203  202  202         128.958    128.890
221:  203  204  203         130.934    131.200
222:  205  205  204         132.936    133.000
223:  207  206  206         134.966    135.080
224:  208  207  208         137.025    136.810
225:  208  209  209         139.112    139.160
226:  210  210  211         141.228    141.230
227:  212  211  212         143.373    143.110
228:  212  213  213         145.548    145.550
229:  214  214  215         147.754    147.700
230:  216  215  216         149.989    149.850
231:  216  217  216         152.256    152.290
232:  218  218  218         154.554    154.480
233:  220  219  220         156.884    156.770
234:  220  221  220         159.246    159.320
235:  222  222  222         161.640    161.660
236:  224  223  224         164.068    164.000
237:  225  224  225         166.529    166.440
238:  225  226  226         169.024    168.970
239:  228  227  228         171.553    171.570
240:  228  229  229         174.117    174.140
241:  231  230  231         176.717    176.620
242:  231  232  232         179.352    179.300
243:  234  233  234         182.024    181.770
244:  235  235  236         184.732    184.820
245:  236  237  236         187.478    187.570
246:  239  238  239         190.261    190.160
247:  240  240  240         193.083    193.090
248:  242  242  241         195.943    196.010
249:  243  244  243         198.843    199.010
250:  245  246  245         201.782    202.100
251:  248  247  247         204.762    204.700
252:  249  249  249         207.782    207.860
253:  250  251  250         210.844    211.240
254:  252  252  253         213.948    213.890
255:  253  254  253         217.095    217.370
256:  255  255  254         220.250    220.170
