# LutGenerate 2.4 - 02/18/11 13:15:16 - #  Display ID: EA231WMi_07106164NA
# Ambient = 0.10   Max. Luminance = 228.630   Luminance Ratio = 350.00
#  lumResponse vers. 1.8 - 01/27/11 09:08:41
#  iLdelay=1  avgN=1  ILlimit_plus=0.20 ILlimit_minus=-0.05  R=21.2% G=68.9% B=10.0%
 DV    R    G    B     target Lum+Lamb   uLR Lum+Lamb
171:  138  138  138          61.241     61.258
172:  139  139  140          62.269     62.278
173:  140  140  141          63.312     63.354
174:  142  141  141          64.371     64.396
175:  143  142  143          65.444     65.470
176:  144  143  144          66.533     66.439
177:  144  145  144          67.638     67.725
178:  145  146  146          68.759     68.762
179:  147  147  147          69.896     69.932
180:  148  148  149          71.049     70.997
181:  150  149  150          72.219     72.231
182:  151  150  151          73.406     73.295
183:  151  152  151          74.610     74.655
184:  152  153  153          75.831     75.790
185:  154  154  154          77.070     77.086
186:  156  155  155          78.326     78.306
187:  157  156  157          79.601     79.441
188:  157  158  157          80.893     81.008
189:  158  159  159          82.205     82.208
190:  160  160  161          83.535     83.579
191:  162  161  162          84.883     84.910
192:  162  163  162          86.251     86.396
193:  163  164  164          87.639     87.588
194:  165  165  166          89.046     89.080
195:  167  166  166          90.474     90.469
196:  167  168  167          91.921     92.081
197:  168  169  169          93.390     93.337
198:  171  170  170          94.879     94.875
199:  171  172  171          96.389     96.527
200:  173  173  172          97.921     97.932
201:  175  174  174          99.474     99.497
202:  175  176  175         101.049    101.210
203:  177  177  176         102.647    102.610
204:  179  178  179         104.267    104.270
205:  179  180  179         105.910    105.880
206:  181  181  181         107.576    107.580
207:  183  182  183         109.266    109.200
208:  183  184  184         110.980    111.020
209:  186  185  185         112.717    112.770
210:  186  187  186         114.480    114.600
211:  188  188  187         116.267    116.260
212:  190  189  190         118.079    118.140
213:  190  191  190         119.917    119.980
214:  191  192  192         121.780    121.750
215:  193  193  194         123.670    123.660
216:  195  194  195         125.586    125.540
217:  195  196  195         127.529    127.520
218:  197  197  198         129.499    129.550
219:  199  198  199         131.497    131.410
220:  199  200  199         133.523    133.440
221:  201  201  201         135.577    135.530
222:  203  202  203         137.660    137.640
223:  203  204  203         139.772    139.800
224:  205  205  206         141.913    141.950
225:  207  206  207         144.085    144.040
226:  207  208  207         146.286    146.260
227:  209  209  210         148.519    148.580
228:  211  210  211         150.782    150.730
229:  211  212  211         153.077    153.010
230:  213  213  214         155.404    155.370
231:  215  214  215         157.764    157.600
232:  216  216  215         160.156    160.210
233:  218  217  217         162.582    162.610
234:  218  219  218         165.041    165.220
235:  219  220  220         167.535    167.540
236:  221  221  221         170.063    169.980
237:  223  222  223         172.626    172.450
238:  224  224  223         175.225    175.320
239:  226  225  225         177.860    177.770
240:  226  227  226         180.531    180.560
241:  229  228  228         183.240    183.300
242:  229  230  230         185.986    185.960
243:  232  231  232         188.770    188.690
244:  233  233  234         191.593    191.680
245:  234  235  234         194.454    194.590
246:  237  236  236         197.356    197.310
247:  238  238  238         200.297    200.360
248:  239  240  239         203.279    203.370
249:  242  241  242         206.302    206.050
250:  243  243  243         209.368    209.350
251:  245  245  244         212.475    212.560
252:  246  247  246         215.625    215.560
253:  248  249  248         218.819    218.810
254:  250  251  250         222.057    222.280
255:  253  252  253         225.340    225.150
256:  254  255  255         228.630    228.650
