# LutGenerate 2.5 - 01/27/2014 15:48:07 - #  Display ID: EA234WMi_35101888TW
# Ambient = 0.10   Max. Luminance = 228.883   Luminance Ratio = 317
#  lumResponse vers. 2.1 - 01/27/2014 15:14:33
#  iLdelay=1  avgN=1  ILlimit_plus=0.20 ILlimit_minus=-0.05  Meter=i1DisplayPro
 DV    R    G    B     target Lum+Lamb   uLR Lum+Lamb
171:  170  170  170          61.870     61.890
172:  172  171  171          62.901     62.931
173:  172  172  173          63.947     63.949
174:  173  173  173          65.007     65.034
175:  174  174  173          66.083     66.154
176:  174  175  175          67.175     67.168
177:  175  176  175          68.282     68.288
178:  176  177  176          69.405     69.571
179:  178  177  178          70.544     70.216
180:  178  179  178          71.699     71.910
181:  179  180  180          72.871     72.871
182:  180  181  181          74.059     74.082
183:  181  182  181          75.265     75.390
184:  182  183  182          76.487     76.635
185:  183  184  183          77.728     77.877
186:  184  185  184          78.985     79.300
187:  186  185  186          80.261     80.019
188:  187  186  187          81.555     81.410
189:  188  187  188          82.867     82.725
190:  188  189  188          84.198     84.452
191:  189  190  189          85.547     85.735
192:  190  191  190          86.916     87.233
193:  192  191  192          88.304     88.029
194:  193  192  193          89.712     89.420
195:  194  193  194          91.140     90.993
196:  195  194  195          92.588     92.566
197:  196  195  196          94.056     94.096
198:  197  196  197          95.545     95.560
199:  197  198  197          97.055     97.147
200:  198  199  198          98.586     98.684
201:  199  200  199         100.139    100.478
202:  200  201  200         101.714    102.051
203:  201  202  201         103.310    103.624
204:  203  202  203         104.929    104.520
205:  204  203  204         106.571    106.283
206:  205  204  205         108.236    107.963
207:  206  205  206         109.924    109.608
208:  206  207  206         111.636    111.703
209:  207  208  207         113.372    113.314
210:  208  209  208         115.132    115.183
211:  209  210  209         116.917    117.013
212:  210  211  210         118.727    118.808
213:  211  212  211         120.562    120.563
214:  212  213  212         122.422    122.433
215:  213  214  213         124.309    124.368
216:  215  215  214         126.222    126.137
217:  217  216  217         128.161    127.947
218:  218  217  218         130.128    130.031
219:  219  218  219         132.121    131.937
220:  220  219  220         134.143    133.905
221:  221  220  221         136.193    135.996
