# LutGenerate 2.5 - 01/27/2014 15:47:24 - #  Display ID: EA234WMi_35101882TW
# Ambient = 0.10   Max. Luminance = 220.395   Luminance Ratio = 295.832
#  lumResponse vers. 2.1 - 01/24/2014 09:37:07
#  iLdelay=1  avgN=1  ILlimit_plus=0.20 ILlimit_minus=-0.05  Meter=i1DisplayPro
 DV    R    G    B     target Lum+Lamb   uLR Lum+Lamb
171:  170  169  170          60.305     60.288
172:  170  171  170          61.301     61.467
173:  171  172  171          62.311     62.494
174:  173  172  173          63.335     63.105
175:  174  173  174          64.374     64.241
176:  175  174  175          65.427     65.409
177:  176  175  176          66.496     66.505
178:  176  176  177          67.579     67.586
179:  177  177  176          68.679     68.623
180:  178  178  177          69.793     69.791
181:  179  179  180          70.923     70.910
182:  181  180  181          72.070     71.964
183:  182  181  182          73.232     73.208
184:  183  182  182          74.411     74.474
185:  183  183  184          75.607     75.639
186:  184  184  185          76.819     76.850
187:  185  185  185          78.049     78.043
188:  186  186  185          79.295     79.342
189:  186  187  187          80.559     80.549
190:  188  188  188          81.841     81.846
191:  189  189  190          83.141     83.141
192:  190  190  190          84.459     84.480
193:  191  191  190          85.796     85.820
194:  192  192  191          87.151     87.139
195:  192  193  193          88.526     88.496
196:  193  194  194          89.919     89.919
197:  194  195  194          91.332     91.291
198:  195  196  195          92.764     92.800
199:  197  197  196          94.217     94.281
200:  199  198  198          95.690     95.660
201:  200  199  199          97.183     97.232
202:  200  200  200          98.697     98.686
203:  201  201  201         100.232    100.185
204:  202  202  202         101.788    101.726
205:  203  203  202         103.366    103.352
206:  204  204  203         104.966    104.926
207:  205  205  205         106.588    106.668
208:  206  206  205         108.233    108.188
209:  208  207  208         109.900    109.919
210:  209  208  209         111.590    111.601
211:  210  209  209         113.304    113.268
212:  211  210  211         115.042    115.047
213:  212  211  211         116.803    116.746
214:  213  212  212         118.589    118.615
215:  214  213  213         120.399    120.445
216:  215  214  214         122.234    122.252
217:  215  216  215         124.095    124.106
218:  216  217  217         125.981    126.005
219:  217  218  218         127.893    127.835
220:  218  219  219         129.831    129.737
221:  219  220  220         131.797    131.790
222:  220  221  221         133.789    133.735
223:  221  222  222         135.808    135.862
224:  222  223  223         137.855    137.945
225:  223  224  223         139.930    139.897
226:  225  225  224         142.034    142.134
227:  227  226  226         144.166    144.252
228:  227  227  228         146.328    146.296
229:  228  228  229         148.519    148.488
230:  229  229  229         150.741    150.736
231:  230  230  230         152.992    153.043
232:  231  231  231         155.275    155.309
233:  232  232  232         157.588    157.689
234:  233  233  232         159.934    159.895
235:  234  234  234         162.311    162.348
236:  236  235  236         164.721    164.463
237:  237  236  237         167.163    167.056
238:  238  237  237         169.639    169.515
239:  238  238  239         172.148    172.233
240:  239  239  238         174.692    174.576
241:  239  240  240         177.271    177.368
242:  240  241  240         179.884    180.405
243:  242  241  242         182.533    182.265
244:  242  242  242         185.218    185.360
245:  242  243  242         187.940    188.338
246:  243  244  243         190.698    191.278
247:  245  244  245         193.495    192.966
248:  246  245  245         196.329    196.309
249:  247  246  246         199.201    199.165
250:  247  248  247         202.113    202.436
251:  249  250  249         205.064    205.081
252:  251  251  252         208.055    208.043
253:  254  253  253         211.086    211.072
254:  254  254  255         214.159    213.700
255:  254  255  254         217.273    219.110
256:  255  255  254         220.395    220.495
