# LutGenerate 2.4 - 12/08/08 13:56:28 - #  Display ID: SHARP_LC65D64U_NA
# Ambient = 0.25   Max. Luminance = 415.390   Luminance Ratio = 350.00
#  lumResponse vers. 1.8 - 12/08/08 13:53:35
#  iLdelay=1  avgN=1  ILlimit_plus=0.20 ILlimit_minus=-0.05  R=18.6% G=68.0% B=13.4%
 DV    R    G    B     target Lum+Lamb   uLR Lum+Lamb
171:  111  112  111         101.605    101.470
172:  113  112  113         103.403    103.360
173:  114  113  113         105.229    105.370
174:  114  114  114         107.084    106.930
175:  115  115  114         108.969    108.760
176:  115  116  116         110.883    110.940
177:  117  117  116         112.828    112.780
178:  118  117  117         114.803    114.500
179:  119  118  118         116.809    116.750
180:  119  119  120         118.847    118.820
181:  121  120  121         120.917    120.970
182:  122  121  121         123.020    123.330
183:  121  122  122         125.155    125.280
184:  123  123  123         127.324    127.100
185:  124  124  124         129.527    129.670
186:  124  125  125         131.765    131.830
187:  125  126  125         134.038    134.020
188:  126  127  127         136.346    136.560
189:  127  128  127         138.691    138.460
190:  129  129  128         141.072    141.270
191:  130  130  130         143.491    143.690
192:  131  131  130         145.947    145.900
193:  131  132  132         148.442    148.370
194:  134  133  133         150.975    151.030
195:  135  134  135         153.549    153.520
196:  135  136  135         156.162    156.150
197:  136  137  137         158.816    158.760
198:  139  138  138         161.511    161.580
199:  140  139  140         164.249    164.110
200:  140  141  141         167.029    167.080
201:  141  142  142         169.852    169.880
202:  143  143  144         172.719    172.720
203:  146  145  145         175.631    175.520
204:  147  146  147         178.588    178.740
205:  147  148  148         181.591    181.670
206:  149  150  149         184.641    184.580
207:  150  151  151         187.737    187.650
208:  153  153  152         190.882    190.990
209:  155  154  154         194.076    194.190
210:  155  156  155         197.319    197.150
211:  157  158  157         200.612    200.780
212:  159  159  160         203.957    204.270
213:  161  161  160         207.353    207.160
214:  163  162  163         210.802    210.760
215:  164  164  164         214.304    214.260
216:  167  166  166         217.860    217.860
217:  169  168  168         221.471    221.600
218:  170  170  169         225.138    225.080
219:  172  172  171         228.861    228.820
220:  174  174  174         232.642    232.590
221:  176  176  175         236.482    236.390
222:  179  178  178         240.380    240.360
223:  180  180  180         244.339    244.580
224:  181  182  182         248.359    248.510
225:  183  183  184         252.440    252.380
226:  186  185  186         256.585    256.690
227:  187  187  188         260.793    260.750
228:  190  189  189         265.066    265.050
229:  191  192  191         269.405    269.550
230:  193  194  193         273.811    273.850
231:  195  196  195         278.285    278.050
232:  198  198  197         282.827    282.900
233:  200  200  200         287.439    287.300
234:  202  202  202         292.122    292.410
235:  205  204  204         296.877    296.800
236:  206  207  206         301.705    301.840
237:  208  209  208         306.608    306.620
238:  212  211  211         311.585    311.780
239:  213  213  214         316.639    316.760
240:  215  215  216         321.771    321.750
241:  219  218  218         326.981    326.870
242:  220  220  220         332.271    332.090
243:  223  222  222         337.642    337.320
244:  225  225  224         343.096    342.920
245:  228  227  228         348.633    348.760
246:  230  230  229         354.256    354.130
247:  233  232  232         359.964    359.830
248:  234  235  235         365.760    365.830
249:  237  238  237         371.644    371.730
250:  239  240  239         377.619    377.620
251:  243  242  243         383.685    383.790
252:  246  245  245         389.844    390.040
253:  247  248  247         396.098    396.230
254:  250  250  250         402.447    402.720
255:  253  252  252         408.893    408.770
256:  255  255  255         415.390    415.640
