# LutGenerate 2.4 - 10/28/09 17:25:15 - #  Display ID: L200ME_810KCGW4Y151
# Ambient = 0.15   Max. Luminance = 254.620   Luminance Ratio = 350.00
#  lumResponse vers. 1.8 - 10/28/09 17:22:18
#  iLdelay=1  avgN=1  ILlimit_plus=0.20 ILlimit_minus=-0.05  R=22.4% G=67.1% B=10.6%
 DV    R    G    B     target Lum+Lamb   uLR Lum+Lamb
171:  139  140  139          67.109     66.644
172:  140  140  141          68.247     67.883
173:  141  142  141          69.401     69.211
174:  142  143  143          70.573     70.581
175:  144  144  143          71.761     71.756
176:  146  145  146          72.967     73.057
177:  147  146  147          74.191     74.558
178:  148  148  147          75.433     75.955
179:  147  147  148          76.693     76.235
180:  149  149  149          77.972     77.693
181:  149  150  149          79.269     79.242
182:  150  151  150          80.585     80.554
183:  153  152  153          81.920     81.859
184:  154  153  153          83.275     83.340
185:  155  155  155          84.650     84.988
186:  156  155  156          86.045     86.461
187:  158  157  157          87.460     88.000
188:  157  157  158          88.895     88.295
189:  157  158  158          90.352     90.133
190:  158  159  158          91.829     91.723
191:  159  160  160          93.328     93.210
192:  161  162  161          94.849     94.788
193:  162  162  163          96.392     96.383
194:  163  164  163          97.957     97.939
195:  165  164  164          99.545     99.587
196:  166  166  166         101.156    101.140
197:  168  167  167         102.790    102.800
198:  168  168  167         104.448    104.540
199:  170  169  170         106.130    106.090
200:  172  171  171         107.836    107.830
201:  173  172  172         109.567    109.590
202:  174  173  173         111.322    111.380
203:  175  174  175         113.103    113.050
204:  175  176  175         114.909    114.890
205:  176  177  176         116.742    116.790
206:  177  177  178         118.600    118.430
207:  178  179  178         120.486    120.110
208:  179  180  179         122.398    121.960
209:  183  182  183         124.338    124.930
210:  184  183  184         126.306    126.840
211:  185  184  184         128.302    128.600
212:  187  186  186         130.327    130.350
213:  186  187  187         132.380    132.330
214:  187  188  188         134.463    134.200
215:  191  191  190         136.576    137.190
216:  192  191  191         138.718    139.030
217:  193  192  192         140.892    140.830
218:  193  194  194         143.096    142.660
219:  195  195  196         145.332    144.670
220:  198  197  197         147.600    147.920
221:  199  199  198         149.900    150.010
222:  199  200  199         152.233    152.260
223:  200  201  201         154.599    154.060
224:  203  203  203         156.999    157.530
225:  205  204  204         159.433    159.450
226:  206  206  207         161.901    161.900
227:  206  207  206         164.405    163.800
228:  210  209  210         166.944    167.370
229:  211  210  211         169.519    169.690
230:  211  211  212         172.131    172.100
231:  212  213  212         174.780    174.110
232:  215  215  214         177.466    177.830
233:  216  217  217         180.191    180.180
234:  217  218  217         182.954    182.660
235:  220  219  220         185.756    186.160
236:  220  221  221         188.598    188.610
237:  223  223  223         191.480    192.230
238:  225  224  225         194.403    194.380
239:  225  225  226         197.367    196.790
240:  228  228  227         200.373    200.410
241:  229  229  230         203.422    203.160
242:  231  231  230         206.514    207.070
243:  233  232  232         209.649    209.820
