# LutGenerate 2.4 - 01/01/09 16:25:01 - #  Display ID: PX212M_422S0221K0084
# Ambient = 0.10   Max. Luminance = 202.370   Luminance Ratio = 350.00
#  lumResponse vers. 1.8 - 01/01/09 16:17:04
#  iLdelay=1  avgN=1  ILlimit_plus=0.20 ILlimit_minus=-0.05  R=22.5% G=67.9% B=9.6%
 DV    R    G    B     target Lum+Lamb   uLR Lum+Lamb
171:  146  146  145          55.199     55.211
172:  147  147  148          56.116     56.120
173:  148  148  149          57.046     57.044
174:  150  149  149          57.989     58.036
175:  151  150  151          58.946     58.799
176:  152  151  152          59.916     59.965
177:  153  153  152          60.899     61.108
178:  153  154  154          61.897     61.895
179:  154  155  155          62.909     62.963
180:  156  156  155          63.935     63.996
181:  157  157  158          64.976     64.951
182:  159  158  159          66.031     65.991
183:  159  160  159          67.101     67.180
184:  160  161  161          68.187     68.375
185:  161  162  162          69.287     69.211
186:  163  163  164          70.403     70.480
187:  165  164  164          71.535     71.548
188:  166  165  165          72.683     72.657
189:  167  167  166          73.846     74.140
190:  167  168  168          75.026     74.986
191:  169  169  168          76.223     76.158
192:  171  170  171          77.436     77.535
193:  172  171  171          78.666     78.754
194:  173  172  172          79.914     79.669
195:  173  174  173          81.178     81.176
196:  174  175  174          82.461     82.614
197:  176  176  175          83.761     83.820
198:  177  177  178          85.079     85.052
199:  179  178  179          86.416     86.395
200:  180  179  179          87.771     87.711
201:  181  180  181          89.145     88.754
202:  182  181  182          90.538     90.503
203:  182  183  183          91.951     92.095
204:  184  184  183          93.383     93.453
205:  185  185  186          94.834     94.774
206:  187  186  187          96.306     96.187
207:  187  188  187          97.799     97.821
208:  189  189  189          99.311     99.625
209:  189  190  190         100.845    100.730
210:  191  191  192         102.400    102.460
211:  192  192  193         103.976    103.940
212:  193  194  194         105.574    105.540
213:  195  195  196         107.194    107.050
214:  196  197  196         108.837    109.170
215:  198  198  197         110.502    110.490
216:  200  199  200         112.190    112.260
217:  201  201  200         113.901    113.850
218:  202  202  203         115.635    115.530
219:  203  204  204         117.393    117.440
220:  205  205  206         119.176    119.210
221:  207  206  206         120.982    120.740
222:  207  208  208         122.814    122.700
223:  209  209  210         124.670    124.570
224:  210  210  210         126.552    126.350
225:  211  212  212         128.460    128.540
226:  213  213  214         130.394    130.500
227:  214  214  214         132.354    132.210
228:  216  215  216         134.341    134.260
229:  216  217  217         136.355    136.280
230:  218  218  218         138.397    138.410
231:  219  220  219         140.466    140.430
232:  220  221  221         142.563    142.540
233:  222  222  223         144.689    144.720
234:  223  224  223         146.844    146.960
235:  224  225  224         149.029    149.060
236:  226  226  226         151.243    151.170
237:  227  228  228         153.487    153.500
238:  229  229  230         155.761    155.760
239:  230  230  230         158.067    157.640
240:  231  232  232         160.403    160.150
241:  233  233  234         162.772    162.570
242:  234  234  235         165.172    164.780
243:  236  235  236         167.605    167.720
244:  237  237  237         170.071    170.300
245:  238  238  237         172.571    172.610
246:  240  239  239         175.104    175.260
247:  241  241  240         177.672    178.180
248:  241  242  242         180.274    180.000
249:  243  243  244         182.911    183.020
250:  245  244  245         185.584    185.580
251:  246  245  245         188.293    188.250
252:  246  246  247         191.039    190.310
253:  247  248  248         193.822    193.860
254:  250  249  249         196.642    196.890
255:  249  250  250         199.501    198.770
256:  252  252  253         202.370    202.430
